order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd,year,month,day,hour,day_name
1,2012-04-06 11:32:43,57,57,49.99,2012,4,6,11,Friday
2,2012-04-13 01:09:43,74,74,49.99,2012,4,13,1,Friday
3,2012-04-15 07:03:48,71,71,49.99,2012,4,15,7,Sunday
4,2012-04-17 20:00:37,118,118,49.99,2012,4,17,20,Tuesday
5,2012-04-22 20:53:49,116,116,49.99,2012,4,22,20,Sunday
6,2012-05-04 11:59:07,147,147,49.99,2012,5,4,11,Friday
7,2012-05-12 02:41:14,186,186,49.99,2012,5,12,2,Saturday
8,2012-05-16 13:06:01,191,191,49.99,2012,5,16,13,Wednesday
9,2012-05-24 16:00:09,179,179,49.99,2012,5,24,16,Thursday
10,2012-05-30 17:20:44,199,199,49.99,2012,5,30,17,Wednesday
11,2012-06-06 14:22:14,271,271,49.99,2012,6,6,14,Wednesday
12,2012-06-10 19:54:47,290,290,49.99,2012,6,10,19,Sunday
13,2012-06-20 19:13:12,335,335,49.99,2012,6,20,19,Wednesday
14,2012-06-28 18:54:22,382,382,49.99,2012,6,28,18,Thursday
15,2012-06-29 15:50:01,357,357,49.99,2012,6,29,15,Friday
16,2012-07-05 14:24:53,409,409,49.99,2012,7,5,14,Thursday
17,2012-07-07 07:36:44,368,368,49.99,2012,7,7,7,Saturday
18,2012-07-07 19:54:28,391,391,49.99,2012,7,7,19,Saturday
19,2012-07-08 02:59:09,424,424,49.99,2012,7,8,2,Sunday
20,2012-07-10 14:31:05,393,393,49.99,2012,7,10,14,Tuesday
21,2012-07-11 22:16:10,442,442,49.99,2012,7,11,22,Wednesday
22,2012-07-19 06:57:16,472,472,49.99,2012,7,19,6,Thursday
23,2012-07-20 13:51:53,470,470,49.99,2012,7,20,13,Friday
24,2012-07-21 09:45:01,469,469,49.99,2012,7,21,9,Saturday
25,2012-07-22 12:53:11,471,471,49.99,2012,7,22,12,Sunday
26,2012-07-27 18:03:58,468,468,49.99,2012,7,27,18,Friday
27,2012-07-29 07:41:18,467,467,49.99,2012,7,29,7,Sunday
28,2012-07-31 01:43:50,500,500,49.99,2012,7,31,1,Tuesday
29,2012-08-01 13:50:52,501,501,49.99,2012,8,1,13,Wednesday
30,2012-08-06 23:16:41,568,568,49.99,2012,8,6,23,Monday
31,2012-08-08 17:45:11,545,545,49.99,2012,8,8,17,Wednesday
32,2012-08-09 17:14:14,558,558,49.99,2012,8,9,17,Thursday
33,2012-08-12 01:39:11,577,577,49.99,2012,8,12,1,Sunday
34,2012-08-12 19:26:58,648,648,49.99,2012,8,12,19,Sunday
35,2012-08-15 03:07:26,669,669,49.99,2012,8,15,3,Wednesday
36,2012-08-16 10:58:58,587,587,49.99,2012,8,16,10,Thursday
37,2012-08-17 00:42:29,581,581,49.99,2012,8,17,0,Friday
38,2012-08-17 00:43:39,584,584,49.99,2012,8,17,0,Friday
39,2012-08-18 09:15:40,638,638,49.99,2012,8,18,9,Saturday
40,2012-08-20 08:19:51,676,676,49.99,2012,8,20,8,Monday
41,2012-08-23 12:16:35,717,717,49.99,2012,8,23,12,Thursday
42,2012-08-24 15:15:48,661,661,49.99,2012,8,24,15,Friday
43,2012-08-27 04:21:11,694,694,49.99,2012,8,27,4,Monday
44,2012-08-27 14:26:16,668,668,49.99,2012,8,27,14,Monday
45,2012-08-29 00:16:18,739,739,49.99,2012,8,29,0,Wednesday
46,2012-08-29 14:11:58,718,718,49.99,2012,8,29,14,Wednesday
47,2012-09-01 10:36:40,780,780,49.99,2012,9,1,10,Saturday
48,2012-09-03 21:08:59,786,786,49.99,2012,9,3,21,Monday
49,2012-09-08 09:52:41,760,760,49.99,2012,9,8,9,Saturday
50,2012-09-12 12:31:11,844,844,49.99,2012,9,12,12,Wednesday
51,2012-09-13 07:09:10,823,823,49.99,2012,9,13,7,Thursday
52,2012-09-14 07:45:19,883,883,49.99,2012,9,14,7,Friday
53,2012-09-14 09:09:54,818,818,49.99,2012,9,14,9,Friday
54,2012-09-14 21:56:14,900,900,49.99,2012,9,14,21,Friday
55,2012-09-15 09:00:25,838,838,49.99,2012,9,15,9,Saturday
56,2012-09-15 19:18:27,807,807,49.99,2012,9,15,19,Saturday
57,2012-09-18 08:07:59,910,910,49.99,2012,9,18,8,Tuesday
58,2012-09-19 19:57:16,849,849,49.99,2012,9,19,19,Wednesday
59,2012-09-22 17:50:53,988,988,49.99,2012,9,22,17,Saturday
60,2012-09-24 12:27:05,934,934,49.99,2012,9,24,12,Monday
61,2012-09-24 15:13:26,993,993,49.99,2012,9,24,15,Monday
62,2012-09-24 20:49:53,950,950,49.99,2012,9,24,20,Monday
63,2012-09-25 08:14:53,969,969,49.99,2012,9,25,8,Tuesday
