order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd,year,month,day,hour,day_name
1,2012-03-19 10:42:46,20,20,1,1,49.99,19.49,2012,3,19,10,Monday
2,2012-03-19 19:27:37,104,104,1,1,49.99,19.49,2012,3,19,19,Monday
3,2012-03-20 06:44:45,147,147,1,1,49.99,19.49,2012,3,20,6,Tuesday
4,2012-03-20 09:41:45,160,160,1,1,49.99,19.49,2012,3,20,9,Tuesday
5,2012-03-20 11:28:15,177,177,1,1,49.99,19.49,2012,3,20,11,Tuesday
6,2012-03-20 16:12:47,232,232,1,1,49.99,19.49,2012,3,20,16,Tuesday
7,2012-03-20 17:03:41,241,241,1,1,49.99,19.49,2012,3,20,17,Tuesday
8,2012-03-20 23:35:27,295,295,1,1,49.99,19.49,2012,3,20,23,Tuesday
9,2012-03-21 02:35:01,304,304,1,1,49.99,19.49,2012,3,21,2,Wednesday
10,2012-03-21 06:45:58,317,317,1,1,49.99,19.49,2012,3,21,6,Wednesday
11,2012-03-21 07:28:02,321,321,1,1,49.99,19.49,2012,3,21,7,Wednesday
12,2012-03-21 08:21:33,327,327,1,1,49.99,19.49,2012,3,21,8,Wednesday
13,2012-03-21 08:45:32,332,332,1,1,49.99,19.49,2012,3,21,8,Wednesday
14,2012-03-21 09:12:05,336,336,1,1,49.99,19.49,2012,3,21,9,Wednesday
15,2012-03-21 16:40:06,428,428,1,1,49.99,19.49,2012,3,21,16,Wednesday
16,2012-03-21 17:13:05,434,434,1,1,49.99,19.49,2012,3,21,17,Wednesday
17,2012-03-21 20:28:11,465,465,1,1,49.99,19.49,2012,3,21,20,Wednesday
18,2012-03-22 06:15:33,507,507,1,1,49.99,19.49,2012,3,22,6,Thursday
19,2012-03-22 10:03:49,536,536,1,1,49.99,19.49,2012,3,22,10,Thursday
20,2012-03-22 17:49:57,615,615,1,1,49.99,19.49,2012,3,22,17,Thursday
21,2012-03-22 20:33:40,639,639,1,1,49.99,19.49,2012,3,22,20,Thursday
22,2012-03-23 12:09:46,732,732,1,1,49.99,19.49,2012,3,23,12,Friday
23,2012-03-23 14:16:23,750,750,1,1,49.99,19.49,2012,3,23,14,Friday
24,2012-03-23 17:14:48,783,783,1,1,49.99,19.49,2012,3,23,17,Friday
25,2012-03-24 09:21:40,844,844,1,1,49.99,19.49,2012,3,24,9,Saturday
26,2012-03-25 08:32:41,908,908,1,1,49.99,19.49,2012,3,25,8,Sunday
27,2012-03-25 08:51:27,909,909,1,1,49.99,19.49,2012,3,25,8,Sunday
28,2012-03-25 16:00:12,940,940,1,1,49.99,19.49,2012,3,25,16,Sunday
29,2012-03-25 21:23:16,954,954,1,1,49.99,19.49,2012,3,25,21,Sunday
30,2012-03-26 10:03:39,1018,1016,1,1,49.99,19.49,2012,3,26,10,Monday
31,2012-03-26 10:25:44,1023,1021,1,1,49.99,19.49,2012,3,26,10,Monday
32,2012-03-26 14:13:56,1059,1055,1,1,49.99,19.49,2012,3,26,14,Monday
33,2012-03-26 16:00:19,1081,1077,1,1,49.99,19.49,2012,3,26,16,Monday
34,2012-03-26 17:55:25,1094,1090,1,1,49.99,19.49,2012,3,26,17,Monday
35,2012-03-26 18:06:39,1098,1094,1,1,49.99,19.49,2012,3,26,18,Monday
36,2012-03-26 18:54:41,1105,1101,1,1,49.99,19.49,2012,3,26,18,Monday
